Partition,Field_Size_ha,Temperature_C,Rainfall_mm,Soil_Humidity_Percent,Water_Demand_Liters
0,6.15,25.6,12.8,12.4,43295.28
1,0.62,34.8,7.3,22.5,22644.73
0,17.76,30.3,16.0,31.1,95986.72
1,6.35,23.6,2.6,10.7,50951.4
0,14.44,32.1,23.9,18.9,85014.04
1,13.23,28.3,19.1,30.6,69535.49
0,10.76,19.5,23.8,48.0,52560.12
1,3.13,11.5,4.2,16.3,26407.83
0,1.61,35.6,15.5,19.0,22774.62
1,5.92,29.8,23.5,23.5,37049.33
0,9.41,15.6,7.7,11.6,63624.1
1,2.92,10.6,11.3,59.8,14127.11
0,17.85,11.5,9.3,50.4,90309.74
1,19.31,23.3,24.6,51.1,99491.02
0,10.33,25.2,10.4,29.1,64309.44
1,12.25,22.7,10.0,27.4,68696.26
0,16.25,14.3,22.9,34.4,84498.96
1,6.45,13.8,9.4,46.4,31293.18
0,3.51,12.2,14.1,52.1,22043.3
1,2.49,23.7,19.6,58.9,10259.07
0,16.92,21.6,22.2,33.7,87830.28
1,16.83,22.6,14.7,47.5,90637.32
0,1.07,25.9,18.8,18.0,16348.58
1,6.17,31.8,6.1,29.6,45021.05
0,11.05,32.8,4.7,22.0,73307.46
1,0.86,10.2,23.6,28.5,8906.69
0,6.93,30.4,20.5,19.2,44850.29
1,14.21,28.8,10.6,26.0,81872.75
0,15.12,31.4,16.6,54.6,82030.61
1,19.2,10.1,21.8,24.8,94922.98
0,3.26,25.5,23.7,13.0,25542.9
1,13.1,30.4,8.1,12.0,84930.11
0,18.49,32.4,20.4,35.2,96633.87
1,13.53,37.7,19.0,40.4,75529.3
0,12.45,10.1,23.1,58.5,56568.09
1,2.71,22.2,17.9,49.1,14207.74
0,2.5,30.1,17.7,14.0,23537.86
1,6.86,11.2,5.5,18.3,45680.8
0,12.46,21.3,20.4,51.1,60656.53
1,6.72,37.3,1.7,28.7,48128.36
0,11.14,30.8,17.6,38.9,62846.16
1,7.34,26.0,6.1,22.4,50243.55
0,9.79,12.5,8.6,39.6,54145.08
1,3.55,35.2,1.0,59.7,28582.11
0,11.61,27.4,9.9,55.1,62334.35
1,1.37,30.2,19.4,15.2,20864.76
0,16.11,16.3,21.7,44.7,77879.41
1,4.7,15.6,5.2,30.6,33865.77
0,7.53,34.1,23.4,25.5,45061.75
1,17.53,30.7,7.5,32.1,103388.55
0,2.38,10.5,2.3,15.7,23857.74
1,12.79,21.0,23.6,41.9,63520.35
0,17.41,36.9,10.0,18.4,106274.92
1,17.12,21.8,2.6,45.9,92605.09
0,4.37,18.6,0.1,53.8,28530.91
1,19.61,16.8,14.3,37.5,104998.93
0,16.57,16.4,7.9,59.3,87507.09
1,13.24,33.4,3.8,52.1,78092.58
0,0.68,17.9,21.0,41.3,7695.46
1,17.5,10.5,14.4,18.8,96704.21
0,10.63,25.4,23.4,57.5,48810.68
1,0.6,14.9,5.5,24.8,16372.93
0,4.66,26.0,2.9,33.7,32444.77
1,18.42,24.6,19.3,25.0,99281.59
0,14.21,37.7,1.8,31.0,91153.24
1,14.0,26.6,10.1,20.4,85370.24
0,11.24,16.3,20.4,34.9,55117.16
1,10.08,15.2,22.0,29.5,56100.03
0,6.9,15.7,23.0,10.7,44218.02
1,5.33,26.7,23.0,25.5,33854.8
0,10.95,27.7,14.3,20.5,66396.05
1,9.03,28.5,0.5,27.6,61602.87
0,3.87,11.8,2.8,51.6,18417.37
1,15.81,28.3,12.3,20.2,92122.7
0,11.97,26.1,0.2,31.3,73205.38
1,9.69,24.9,20.2,59.1,46160.44
0,1.32,10.2,13.4,48.7,3541.17
1,3.55,19.1,20.9,46.6,18681.31
0,11.01,21.4,13.1,38.5,61930.21
1,6.96,25.3,23.6,13.8,42783.87
0,3.96,34.6,22.8,13.8,33043.01
1,3.64,12.0,16.4,36.5,18541.02
0,5.32,19.0,14.0,26.6,39051.94
1,10.01,13.8,10.0,36.0,55563.4
0,15.35,17.2,11.7,57.9,77289.67
1,19.19,28.4,1.8,50.8,104332.9
0,2.51,35.2,8.0,46.2,22276.64
1,15.04,15.7,24.9,38.0,72695.23
0,15.45,24.9,1.4,59.5,83178.81
1,3.39,34.2,18.8,12.1,34827.9
0,16.44,21.8,0.1,59.7,83215.23
1,8.02,34.1,14.3,18.5,52827.29
0,1.67,13.8,7.7,32.0,17643.0
1,0.73,27.2,13.8,35.8,16895.27
0,8.39,17.3,0.0,57.4,51094.36
1,6.58,29.6,19.4,54.7,32228.44
0,0.79,18.3,4.9,10.5,16761.0
1,9.34,12.4,4.2,37.1,56927.25
0,16.2,32.1,2.0,24.5,102697.73
1,6.09,19.0,21.2,36.6,35329.83
0,18.73,17.6,3.1,25.3,107329.75
1,8.2,16.9,4.5,47.7,45361.69
0,9.49,30.6,22.7,33.8,54506.91
1,15.78,25.7,5.1,34.3,89102.96
0,16.78,27.6,2.1,52.3,93833.69
1,7.8,34.0,3.4,17.7,57389.0
0,7.82,35.3,5.6,16.8,55293.39
1,4.45,30.7,13.3,19.8,35090.88
0,5.55,21.4,21.4,25.3,32547.86
1,6.37,13.5,14.3,58.7,33851.85
0,7.31,24.7,21.0,39.0,40222.67
1,14.28,30.3,9.2,58.9,71577.77
0,6.63,20.7,6.8,10.1,48753.96
1,14.67,23.1,12.2,37.0,80564.72
0,1.62,27.5,6.0,31.7,22002.89
1,2.43,30.0,5.4,30.2,30115.51
0,13.79,16.9,13.9,31.2,74082.77
1,11.59,17.4,22.5,37.6,63637.62
0,14.43,23.8,2.5,19.4,89881.95
1,4.81,33.9,23.4,12.8,43362.48
0,9.33,35.3,3.0,13.6,72587.29
1,8.84,28.1,0.4,25.8,59163.05
0,11.06,10.6,14.8,16.2,64969.66
1,8.08,32.8,13.4,43.3,51645.88
0,12.87,26.6,0.3,35.3,77510.88
1,9.64,14.9,18.7,19.4,56873.3
0,7.09,24.6,19.0,51.3,35178.09
1,8.98,20.4,20.4,44.2,49440.8
0,18.62,19.3,16.4,14.6,106326.64
1,19.31,12.7,24.9,47.5,93069.38
0,12.42,33.1,2.2,13.3,80664.0
1,12.17,34.0,20.6,16.4,72181.41
0,15.36,14.5,17.0,16.4,80937.13
1,18.57,13.7,6.0,39.8,101514.69
0,17.56,34.4,10.0,28.4,102422.04
1,10.38,23.5,16.1,38.6,54677.0
0,18.84,13.6,22.2,39.9,95871.68
1,12.87,11.2,18.6,39.2,65258.49
0,10.3,29.1,20.3,20.5,59842.13
1,7.05,13.6,19.7,51.0,35410.33
0,3.7,11.6,20.7,30.6,19395.56
1,14.19,25.0,9.9,46.6,75804.45
0,13.36,16.6,17.5,46.0,67915.97
1,9.69,16.5,0.6,49.2,52444.5
0,8.72,21.6,12.1,36.1,51321.92
1,15.04,11.0,25.0,12.5,77385.65
0,6.92,35.4,15.1,45.8,40741.12
1,8.78,15.5,23.3,45.3,43010.23
0,18.84,34.5,19.4,15.8,111242.39
1,16.98,14.0,5.0,18.4,95088.3
0,1.44,20.9,12.5,14.7,21907.6
1,12.35,25.2,3.6,18.2,76038.38
0,18.98,18.0,10.8,57.9,96956.85
1,18.51,33.1,17.3,51.7,99416.31
0,12.93,20.7,6.0,14.2,80285.6
1,1.38,37.4,13.4,39.4,13286.17
0,15.88,27.0,19.8,40.2,84181.0
1,9.41,24.7,2.6,36.5,58627.0
0,18.92,20.3,11.4,47.9,97016.79
1,2.48,16.5,19.9,48.9,11718.69
0,4.68,27.7,9.0,15.5,35826.23
1,0.93,20.0,17.2,24.9,16383.72
0,15.07,10.1,9.2,39.6,80305.29
1,5.24,25.5,5.5,11.0,47809.02
0,15.93,37.7,19.5,44.3,84614.05
1,17.42,18.3,4.0,37.2,97712.76
0,9.33,21.0,21.0,40.3,52774.34
1,3.83,11.8,8.3,51.9,18178.19
0,15.74,16.2,0.1,40.2,90533.36
1,11.86,14.1,13.3,37.5,61099.87
0,6.28,34.7,2.0,32.6,48931.18
1,13.41,10.9,18.4,30.2,75000.78
0,3.41,24.6,1.4,43.9,29822.34
1,15.57,36.7,18.8,53.6,82802.22
0,14.63,16.6,24.1,32.0,75951.23
1,11.01,27.4,0.9,29.2,74195.26
0,17.64,36.0,8.0,33.8,105222.3
1,1.22,15.5,21.2,17.0,8569.25
0,4.41,31.9,12.3,17.2,37777.44
1,17.86,20.7,11.8,15.8,99102.69
0,17.36,36.9,19.9,20.2,102572.25
1,11.79,12.4,24.0,55.7,56012.27
0,3.36,18.5,21.4,29.7,24254.37
1,1.83,34.0,18.1,54.2,12930.39
0,3.23,33.1,16.7,21.1,27569.27
1,14.21,11.0,15.9,42.6,69146.15
0,8.33,21.1,3.1,15.2,57122.04
1,15.84,35.4,6.7,32.3,91263.85
0,12.99,37.1,2.8,36.3,80940.11
1,14.69,30.8,2.5,52.0,83260.27
0,15.27,31.4,16.8,11.3,92495.4
1,2.14,16.5,21.2,43.2,9351.14
0,3.36,17.3,7.5,39.4,27987.27
1,11.04,12.9,20.8,33.8,55526.25
0,5.78,26.7,18.9,37.2,36997.69
1,14.96,11.0,4.0,21.3,85769.64
0,7.99,15.6,11.1,31.0,49589.07
1,6.58,33.3,1.7,37.2,50372.07
0,9.32,31.5,23.0,24.8,55792.64
1,3.18,17.2,11.2,51.8,23876.64
0,3.35,22.2,18.3,42.0,16969.27
1,1.73,18.9,12.3,55.2,14002.83
0,8.13,31.9,20.5,13.7,54375.64
1,6.06,25.5,1.0,40.1,39793.25
0,4.0,31.4,3.7,21.5,37142.15
1,19.37,14.8,15.6,40.1,96784.26
0,14.58,21.9,2.8,23.4,85536.75
1,13.15,20.0,4.7,18.7,80102.42
0,1.73,21.8,10.7,41.7,13581.24
1,1.91,30.5,24.3,28.0,17976.67
0,9.02,19.8,6.7,46.2,50353.81
1,6.87,26.6,5.6,26.5,46216.82
0,15.4,22.6,2.7,40.1,84792.26
1,14.46,30.4,13.4,48.9,75693.48
0,14.16,10.3,19.2,53.2,68502.28
1,6.72,22.9,11.6,54.8,37112.16
0,5.63,15.4,16.3,32.9,33787.23
1,18.47,20.4,19.2,40.6,95222.95
0,4.26,20.0,11.0,33.5,30797.76
1,4.33,37.6,23.2,40.7,24987.19
0,12.52,27.1,7.6,41.0,74779.52
1,11.02,18.7,6.4,26.2,69588.14
0,9.91,12.8,11.5,54.9,48209.48
1,13.08,25.7,22.3,48.2,64756.51
0,2.56,17.7,0.1,36.9,27220.6
1,8.43,34.6,17.5,16.6,55281.1
0,4.48,33.8,5.9,56.6,29404.32
1,2.39,37.3,21.6,52.8,17032.65
0,12.64,35.8,6.1,36.3,81327.41
1,8.41,34.4,23.5,59.5,37777.09
0,12.21,32.4,20.0,36.4,66154.18
1,2.08,28.5,6.4,17.1,26271.76
0,11.76,30.0,9.4,24.6,76109.36
1,1.61,36.4,18.5,41.3,18087.54
0,3.18,34.1,6.2,22.0,33761.34
1,2.83,27.2,23.8,29.9,22541.08
0,16.01,33.9,0.0,17.1,99380.17
1,18.27,17.6,18.6,58.3,89450.09
0,2.89,29.2,12.6,29.0,21695.23
1,16.51,35.4,9.8,23.6,97579.06
0,16.99,34.1,6.6,18.7,99136.57
1,1.63,34.4,10.2,51.7,15568.01
0,9.89,21.1,12.3,11.0,63424.5
1,2.75,36.8,22.3,30.0,25512.24
0,13.14,19.1,24.7,58.7,59399.89
1,12.77,28.2,5.8,41.7,72413.25
0,14.88,25.1,8.6,31.9,85226.0
1,6.31,33.3,0.6,40.1,49914.9
0,16.17,20.7,5.9,47.4,92461.24
1,15.54,32.4,9.5,10.1,97868.38
0,12.04,25.0,19.1,33.0,67560.85
1,6.05,16.4,5.6,18.5,41491.33
0,4.77,13.6,7.1,45.3,32262.57
1,9.64,29.8,16.0,52.3,60280.15
0,12.95,34.2,7.6,21.9,84875.12
1,9.45,15.5,8.6,31.4,55720.11
0,9.32,30.4,16.6,27.7,52925.09
1,15.29,30.9,21.4,14.5,89640.27
0,5.14,36.3,19.1,41.7,32132.98
1,13.57,17.6,15.0,18.1,78287.97
0,4.33,33.1,13.2,12.7,35049.89
1,7.19,10.2,6.5,55.3,40573.73
0,9.93,18.5,8.0,49.0,54309.0
1,15.92,37.8,16.6,46.2,88139.57
0,14.24,24.6,18.5,12.0,81578.89
1,5.56,23.0,11.7,45.1,32689.63
0,12.11,17.1,5.3,25.2,74089.24
1,10.22,19.7,8.0,42.2,60984.63
0,9.58,20.2,15.2,21.0,55905.55
1,18.02,20.4,7.4,43.2,99189.36
0,1.13,28.4,7.6,51.6,15444.7
1,19.77,25.4,8.1,13.6,117479.54
0,0.89,32.4,20.2,12.5,22241.66
1,18.5,21.2,16.2,53.9,95319.42
0,18.23,22.9,13.1,59.6,92413.16
1,9.01,34.1,5.9,28.6,60872.31
0,9.16,30.8,6.2,42.9,55262.09
1,18.34,31.2,10.1,35.2,99981.66
0,16.65,19.4,11.7,15.1,97884.32
1,16.1,32.3,16.5,47.2,87259.86
0,7.01,23.7,9.0,12.7,50127.5
1,11.54,18.3,8.1,41.4,67437.83
0,8.98,28.6,3.4,49.6,54605.51
1,7.62,21.8,13.0,33.5,42066.59
0,9.25,25.7,6.1,51.2,51775.66
1,13.14,17.3,2.9,46.6,70613.9
0,3.84,24.7,18.3,49.2,22350.43
1,17.94,35.3,11.8,39.3,99965.93
0,5.23,29.9,20.2,40.7,33315.24
1,19.68,15.4,18.4,35.5,105921.2
0,1.39,29.7,21.6,26.0,17382.5
1,16.23,13.3,9.1,32.3,86984.0
0,13.34,19.3,23.2,34.0,70913.09
1,2.42,29.7,3.5,16.7,29903.47
0,9.62,22.6,4.3,17.2,62278.6
1,3.01,36.9,11.6,44.5,25359.08
0,3.18,15.8,8.9,20.7,25485.76
1,7.2,26.4,17.4,25.2,42023.74
0,3.23,13.1,20.8,52.8,17156.54
1,15.16,34.4,8.2,53.0,81059.74
0,11.52,21.5,22.2,12.7,68153.05
1,7.86,16.3,19.1,25.5,46175.93
0,14.3,27.9,1.6,41.2,89208.57
1,1.51,35.6,3.4,12.0,27878.63
0,18.85,20.2,14.1,56.5,96921.17
1,11.41,31.9,16.9,12.5,72766.16
0,9.54,19.0,18.8,40.6,52576.47
1,19.31,26.1,5.2,13.7,115715.96
0,6.71,28.1,7.5,25.1,46787.56
1,0.73,25.4,16.6,37.0,8548.68
0,4.71,36.2,5.7,10.3,41644.8
1,16.52,34.2,14.2,26.1,96047.3
0,13.62,11.3,9.6,50.5,69346.84
1,17.22,27.5,6.5,28.4,98862.92
0,3.61,24.9,7.3,14.5,32089.49
1,13.41,22.3,4.4,20.9,82262.19
0,13.7,36.7,23.6,11.7,83941.22
1,6.81,20.3,20.1,59.9,32089.46
0,4.94,18.1,7.3,20.8,38481.06
1,16.08,29.0,0.2,17.3,96372.85
0,2.18,20.0,10.9,15.2,25438.03
1,13.33,32.3,20.0,28.0,74748.77
0,19.77,14.2,2.7,37.3,105420.18
1,16.45,27.7,2.4,28.3,97632.71
0,5.74,11.1,19.1,37.6,22407.43
1,19.51,21.8,8.0,38.8,108132.66
0,11.05,26.0,11.9,56.2,58722.25
1,6.62,13.7,19.0,20.1,39184.66
0,10.37,28.3,16.2,18.2,64041.74
1,17.71,36.6,2.1,41.2,105429.66
0,14.57,12.0,11.2,49.8,69610.23
1,10.4,14.3,12.0,41.7,54186.9
0,3.64,19.8,8.2,14.6,31503.22
1,19.33,31.3,9.2,28.4,110189.18
0,8.05,32.5,18.2,34.2,49724.35
1,18.67,32.5,2.4,15.2,114996.43
0,17.69,15.9,20.7,14.4,97535.76
1,16.65,20.5,20.8,29.5,86042.72
0,7.53,29.0,3.8,42.8,47553.1
1,12.82,35.0,13.8,15.0,82301.53
0,2.75,11.1,6.2,14.3,29529.41
1,1.28,28.7,16.7,15.8,18235.0
0,7.16,21.7,16.0,51.1,37808.57
1,10.51,36.6,22.1,28.5,62300.32
0,12.77,31.2,22.1,41.5,71571.77
1,12.48,20.7,10.5,18.5,73668.6
0,15.36,17.6,9.6,49.1,79926.0
1,2.15,27.5,5.5,18.2,26387.13
0,12.65,16.2,21.0,53.0,64878.55
1,7.81,16.6,10.3,44.0,44138.51
0,19.4,15.8,20.2,12.2,101443.58
1,8.99,31.3,21.5,43.3,50614.83
0,18.44,18.5,13.9,33.9,103065.06
1,6.57,36.4,1.1,24.9,50562.04
0,15.6,19.2,21.5,46.6,78002.24
1,1.53,19.4,17.9,14.3,20497.09
0,13.05,12.7,4.0,20.6,74665.77
1,7.15,19.7,6.5,27.4,46809.06
0,19.45,19.7,21.2,31.8,98900.56
1,7.14,18.7,18.2,57.2,34582.94
0,15.26,13.7,23.4,52.2,71949.46
1,8.74,33.1,24.8,36.5,50265.42
0,10.02,15.6,14.7,18.5,59696.84
1,2.74,36.8,15.6,45.7,20423.38
0,19.79,12.1,12.5,52.6,96262.36
1,8.02,13.0,15.4,31.7,46388.75
0,5.22,10.2,19.9,59.1,20247.27
1,15.39,34.2,3.6,30.9,94317.52
0,19.14,32.7,15.7,33.4,104865.06
1,13.85,13.7,21.4,56.9,69533.23
0,13.17,13.0,14.4,14.1,68236.3
1,10.67,12.1,23.8,21.3,56643.37
0,5.42,10.1,20.2,49.5,22270.0
1,10.15,15.1,2.7,47.7,59564.08
0,1.72,29.0,5.2,58.2,15927.41
1,11.14,10.8,18.3,39.7,57871.85
0,14.29,18.2,2.9,15.5,85040.8
1,11.57,36.4,4.6,58.9,66362.88
0,17.09,34.3,19.4,24.0,97563.12
1,19.94,30.7,15.1,53.2,102917.07
0,6.23,25.4,7.6,42.0,44889.84
1,3.44,31.0,8.2,24.8,34439.2
0,4.36,30.7,3.9,51.4,29431.58
1,19.72,14.9,19.2,28.6,103499.94
0,2.93,10.8,17.4,25.0,21937.75
1,18.0,10.6,10.9,45.6,96876.1
0,7.8,14.0,15.9,40.1,39301.08
1,14.37,13.6,23.3,25.6,74598.26
0,14.55,31.7,3.1,34.5,87235.86
1,19.97,22.8,18.8,13.9,109449.23
0,14.53,16.0,6.7,36.8,77924.62
1,15.36,36.6,16.3,12.3,91975.88
0,9.88,29.2,10.5,30.2,59745.66
1,17.64,23.3,13.9,19.9,100325.86
0,7.16,21.1,13.8,23.9,47671.58
1,9.63,11.0,18.9,17.8,55335.08
